STA,ELEV,CHAN,SENSOR,RECORD
GHR,56.0,HGE,ES-DH-A,q330hrs
GHR,56.0,HGN,ES-DH-A,q330hrs
GHR,56.0,HGZ,ES-DH-A,q330hrs
OJR,207.0,BGE,ES-DH-A,q330hrs
OJR,207.0,BGN,ES-DH-A,q330hrs
OJR,207.0,BGZ,ES-DH-A,q330hrs
OJR,207.0,HGE,ES-DH-A,q330hrs
OJR,207.0,HGN,ES-DH-A,q330hrs
OJR,207.0,HGZ,ES-DH-A,q330hrs
PMNM,65.0,BGE,ES-T-A,q330sp
PMNM,65.0,BGN,ES-T-A,q330sp
PMNM,65.0,BGZ,ES-T-A,q330sp
PMNM,65.0,ELE,CMG-40T-1-A,q330sp
PMNM,65.0,ELN,CMG-40T-1-A,q330sp
PMNM,65.0,ELZ,CMG-40T-1-A,q330sp
PMNM,65.0,HGE,ES-T-A,q330sp
PMNM,65.0,HGN,ES-T-A,q330sp
PMNM,65.0,HGZ,ES-T-A,q330sp
PMNM,65.0,SLE,CMG-40T-1-A,q330sp
PMNM,65.0,SLN,CMG-40T-1-A,q330sp
PMNM,65.0,SLZ,CMG-40T-1-A,q330sp
